151
-331.997 1904.42 -1.875,1 9 10,stand,79.0027 -40.7483 0,,
-218.54 1908.33 -1.875,0 2,stand,79.2169 -14.5404 0,,
-196.798 1903.96 33.125,1 3,stand,65.1599 -12.0465 0,,
-160.316 1897.49 -1.875,2 4 9 10 146,stand,47.2412 161.598 0,,
43.6632 1845.87 -1.875,3 5 9 10,stand,19.0503 -9.11865 0,,
317.546 1717.87 -5.46307,4 6 146,stand,18.7646 170.53 0,,
376.989 1330.83 0.424031,5 7 10 11 8 20 21,stand,9.62952 169.744 0,,
3.60784 1250.88 16.125,6 8 9 10 38,stand,17.699 -167.701 0,,
-363.103 1352.13 -1.98775,7 9 10 6 41 95,stand,11.0577 115.79 0,,
-277.681 1666.81 -1.875,8 0 3 4 7 10,stand,76.5747 49.6307 0,,
21.4615 1602.13 -6.13868,7 4 3 6 8 9 0 146,stand,76.6461 82.749 0,,
770.129 1255.02 0.444054,6 12 19 20 15 22,stand,20.5499 55.9863 0,,
943.108 1453.51 1.11297,11 13,stand,6.92139 -128.93 0,,
761.953 1391.78 7.325,12 14 15,stand,20.5499 16.6772 0,,
566.225 1379.22 7.325,13,stand,34.184 176.039 0,,
1039.24 1144.14 0.110408,13 16 17 11,stand,16.6992 69.6313 0,,
1178.82 1340.87 -0.508616,15,stand,24.1919 -112.088 0,,
1084.37 855.843 0.112912,15 18 19 21,stand,18.6218 -154.984 0,,
1118.89 644.33 16.125,17 19 25,stand,75.1465 -104.595 0,,
672.4 816.697 0.125001,17 11 20 21 18 22,stand,20.907 49.0045 0,,
523.644 999.06 0.0813559,19 11 6,stand,22.7637 5.61402 0,,
929.201 529.874 16.125,6 19 17,stand,11.3434 122.943 0,,
594.724 803.643 0.665755,19 23 11,stand,58.233 69.1864 0,,
368.699 791.444 104.125,22 24,stand,33.1842 36.3593 0,,
328.096 886.874 104.125,23,stand,29.6136 -23.3789 0,,
1111.92 447.029 184.125,18 26,stand,39.5343 -147.574 0,,
937.825 392.199 184.125,25 27 30,stand,22.121 -71.0651 0,,
1136.61 341.126 192.125,26 28,stand,54.5966 -98.399 0,,
1130.41 325.683 220.125,27 29,stand,83.3588 -92.1204 0,,
1128.21 300.112 184.125,28 42,stand,66.7255 83.6609 0,,
831.126 345.872 184.125,26 31 33,stand,34.8981 114.315 0,,
689.198 404.522 192.125,30 32 48,stand,16.485 84.1241 0,,
663.536 566.898 192.125,31 65,stand,24.4775 -172.39 0,,
816.071 295.96 192.125,30 34,stand,48.8837 81.2732 0,,
805.125 100.844 184.125,33 35 42,stand,72.1527 1.12243 0,,
805.125 -140.024 184.125,34 36 43,stand,73.938 -4.01366 0,,
805.125 -316.326 184.125,35 37 44,stand,67.2968 -4.58495 0,,
804.311 -543.357 184.125,36 46 47,stand,55.7391 2.69348 0,,
46.4033 931.525 16.125,7 39,stand,18.5559 98.4723 0,,
-56.2778 641.87 16.125,38 40,stand,24.906 40.6458 0,,
10.3344 444.986 16.125,39 69 71 73 74,stand,12.7716 6.17614 0,,
-603.932 1229.51 4.125,8 94 95 142,stand,17.699 24.6387 0,,
1140.87 98.036 184.125,29 34 43,stand,84.9957 -176.884 0,,
1140.87 -140.191 184.125,35 42 44,stand,30.1849 178.87 0,,
1140.87 -315.926 184.125,43 36 45,stand,60.8038 -177.834 0,,
1140.87 -516.875 184.125,44,stand,29.6851 149.251 0,,
631.208 -547.127 184.125,37,stand,24.906 10.7245 0,,
895.644 -539.117 192.125,37,stand,67.2253 173.372 0,,
661.831 30.155 192.125,31 49,stand,12.3431 84.7339 0,,
679.502 -273.067 192.125,48 50 54,stand,33.5413 -84.1095 0,,
750.831 -364.297 192.125,49 51,stand,57.9474 -89.9762 0,,
747.809 -488.919 104.125,50 52,stand,48.8837 -176.598 0,,
678.597 -492.923 104.125,51 53,stand,80.2167 178.672 0,,
565.974 -488.212 16.125,52 66,stand,84.9957 153.624 0,,
655.667 -390.35 192.125,49 55,stand,76.0034 169.466 0,,
-114.355 -441.115 192.125,54 56,stand,14.3427 161.545 0,,
-717.685 -404.073 192.125,55 57 58,stand,12.9144 15.7397 0,,
-781.561 -284.395 192.125,56 58 141 147,stand,25.7629 55.0653 0,,
-667.133 -136.071 192.125,57 56 59,stand,32.6843 -47.7063 0,,
-662.832 597.342 192.125,58 60 64,stand,16.6992 -91.3934 0,,
-759.544 541.964 192.125,59 61,stand,84.9957 -87.9877 0,,
-759.778 423.126 90.5163,60 62,stand,51.2402 4.31945 0,,
-693.862 374.296 88.125,61 63,stand,84.1388 -4.74425 0,,
-598.829 378.317 16.0338,62 70 73,stand,11.2006 -13.6706 0,,
-124.16 569.376 192.125,59 65,stand,76.7175 2.1936 0,,
133.581 574.988 192.125,64 32,stand,61.6608 111.244 0,,
123.241 -407.422 16.125,53 67 68 69 80,stand,25.4773 4.96215 0,,
-23.6355 -515.293 16.125,66 68 80 111,stand,65.7257 -173.676 0,,
-3.78913 -181.935 0.125002,67 66 72 69 76 77 80 75 96 101,stand,10.2722 -79.3854 0,,
214.254 89.7634 0.125,66 40 68 71 74 75 76 101,stand,18.4076 -169.748 0,,
-377.598 311.56 0.125,63 71 72 78,stand,18.056 -7.34801 0,,
-68.4435 273.508 0.125001,70 72 40 69 74 79,stand,16.0565 -143.375 0,,
-164.376 -12.1194 0.125,70 71 73 68 77 78 79 76 80,stand,31.8274 78.9001 0,,
-293.091 447.662 0.125,40 72 63,stand,15.1996 -169.605 0,,
202.957 414.454 0.124999,71 40 69 75 76,stand,21.1981 -162.524 0,,
489.611 250.706 0.125,74 69 76 68 101,stand,21.3354 -179.921 0,,
522.42 -167.158 0.125,69 75 74 68 72 96,stand,20.3412 103.663 0,,
-293.049 -290.376 0.125,68 72 79,stand,20.6982 36.5808 0,,
-573.115 150.95 0.125,72 70 79 82,stand,17.6276 -31.6003 0,,
-476.629 -68.6021 0.125,72 77 78 71,stand,19.8413 4.24804 0,,
-99.7918 -433.478 16.125,67 66 68 72 81,stand,18.4131 98.0438 0,,
-705.809 -423.046 16.125,80 82,stand,10.4919 0.40832 0,,
-706.234 174.141 16.125,81 78 83,stand,28.2623 -25.7117 0,,
-886.991 163.937 16.125,82 84 87 88 90,stand,6.56433 69.353 0,,
-845.028 387.826 16.125,83 85 87,stand,-25.3345 84.5526 0,,
-845.568 630.183 206.125,84,stand,76.8658 86.9092 0,,
-994.023 966.099 8.76975,87 91 94 92 95 145,stand,19.6271 -85.0708 0,,
-966.158 406.354 16.125,86 83 84 88 91,stand,72.8668 -97.7215 0,,
-964.375 -210.75 16.125,83 89 90 87,stand,14.4855 56.5649 0,,
-1063.83 -87.2047 16.125,88 90,stand,18.6273 6.46179 0,,
-840.45 -166.452 16.125,89 88 83,stand,21.4783 138.721 0,,
-878.251 838.336 11.8356,86 87 92 94 145,stand,63.2318 -115.437 0,,
-626.065 788.44 12.9048,91 93 86 145,stand,17.1277 -178.367 0,,
-621.887 663.612 15.5796,92,stand,25.8344 97.4011 0,,
-619.15 1001.58 7.76546,91 86 41 145,stand,54.668 179.546 0,,
-995.759 1394.38 4.125,41 86 8 142,stand,36.0406 -71.7718 0,,
729.91 -240.988 16.125,76 97 68 98,stand,23.7634 81.8664 0,,
927.92 -237.386 16.125,96 102 103,stand,15.5566 164.083 0,,
680.009 182.384 16.125,96 99,stand,26.0486 -165.315 0,,
641.126 165.631 16.125,98 100,stand,63.8745 -179.663 0,,
614.963 165.395 48.125,99 101,stand,72.2241 -177.416 0,,
592.875 162.767 0.125,100 75 69 68,stand,59.6613 91.1993 0,,
957.936 329.524 14.9275,97 103,stand,18.5559 -88.0371 0,,
1047.23 -607.131 16.6278,97 102 104 106 105 109,stand,11.8433 121.247 0,,
743.826 -669.741 16.125,103 105 106,stand,15.5566 -45.7782 0,,
751.939 -910.567 17.4681,104 106 103 108 109,stand,17.7704 -24.4922 0,,
977.884 -1016.08 16.7988,105 103 104 107,stand,15.4852 89.6997 0,,
860.171 -1342.69 16.1062,106 108 109,stand,2.28516 143.802 0,,
467.237 -1306.77 16.1062,107 109 105 133 134 139,stand,17.1991 44.9524 0,,
514.235 -966.107 24.2521,108 107 105 103,stand,19.8413 -67.3828 0,,
48.0227 -989.067 16.125,111 133,stand,23.0493 105.229 0,,
-48.4908 -656.92 16.125,110 67,stand,12.0575 -62.4884 0,,
-569.466 -1330.41 16.125,113 114 115 131 132,stand,15.0568 -2.78868 0,,
-626.085 -1032.94 16.125,112 121 114 119 120 128,stand,11.4203 -119.595 0,,
-770.607 -1351.05 16.125,112 115 113 116 118,stand,15.6995 112.513 0,,
-1022.54 -1222.59 16.125,114 116 130 112,stand,14.057 81.1084 0,,
-937.039 -896.392 16.125,115 117 118 114 122 130,stand,14.5569 116.221 0,,
-1116.39 -541.955 16.125,116 122 118 140,stand,15.1282 -19.6637 0,,
-900.758 -597.852 16.125,116 119 117 114 123 122 124 130,stand,16.2708 -33.5065 0,,
-635.292 -732.764 16.125,118 120 113 123 122 121,stand,15.1996 -81.665 0,,
-467.657 -737.763 16.125,119 121 113,stand,17.9132 -108.873 0,,
-478.434 -946.544 16.125,120 113 119,stand,23.9777 142.72 0,,
-1099.42 -925.732 16.125,117 116 119 118 124 125,stand,11.8433 10.73 0,,
-636.313 -564.166 16.125,119 118,stand,48.8177 -174.219 0,,
-957.289 -347.337 16.125,118 122,stand,25.4773 -15.9448 0,,
-1093.53 -1114.69 145.125,122 126,stand,31.4703 -100.001 0,,
-1109.64 -1255.1 146.125,125 127,stand,68.0823 -83.0383 0,,
-1101.05 -1421.23 145.125,126,stand,-23.8348 -5.95274 0,,
-704.874 -982.28 16.125,113 129,stand,53.8824 166.631 0,,
-754.879 -975.608 48.0834,128 130,stand,36.1121 167.703 0,,
-807.126 -949.926 16.125,129 116 118 115,stand,78.7885 -14.1156 0,,
-316.204 -1517.63 16.1243,112 132 137,stand,21.5497 139.369 0,,
-327.721 -1294.81 16.1243,131 133 112 134 139,stand,46.5326 6.0498 0,,
-8.94731 -1280.67 16.125,110 132 108 134 139,stand,80.9308 162.561 0,,
288.117 -1493.72 16.125,108 133 136 132 139,stand,20.4785 66.8426 0,,
291.334 -1850.02 16.125,136 137 139,stand,23.9063 61.1847 0,,
388.726 -1691.91 16.125,135 134,stand,43.9618 125.136 0,,
-49.573 -1905.07 16.125,135 138 131 139,stand,14.7711 157.963 0,,
-358.437 -1878.78 16.125,137 139,stand,26.6199 -22.8992 0,,
27.5682 -1604.35 16.1247,137 132 138 134 133 135 108,stand,15.5566 176.146 0,,
-1107.83 -351.586 184.125,117 141,stand,58.3044 -21.6907 0,,
-1021.57 -285.058 184.125,140 57 147,stand,23.1921 21.947 0,,
-786.309 1175.13 6.9633,41 143 95,stand,76.4319 -148.011 0,,
-786.473 1158.52 36.125,142 144,stand,48.1696 -118.98 0,,
-836.851 1049.9 32.73,143 145,stand,78.5028 -118.854 0,,
-843.237 1008.87 7.55913,144 86 91 94 92,stand,84.9957 79.7076 0,,
251.013 2000.87 -1.62082,3 10 5,stand,24.1919 -133.339 0,,
-823.692 -231.127 192.125,57 148 141,stand,84.9957 96.7255 0,,
-817.126 -215.144 220.125,147 149,stand,75.1465 4.25357 0,,
-822.456 -194.875 145.125,148 150,stand,71.8671 -108.527 0,,
-820.52 -125.782 145.125,149,stand,63.089 -148.923 0,,
